Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,18,5213,4137,2674,602,587,33,489,2458,0,1
C:\Users\Adroid\Documents\Visual Studio 2010\Projects\vbdetlevvb-engine\vbdetlevvb-engine,18,5213,4137,2674,602,587,33,489,2458,0,1
C:\Users\Adroid\Documents\Visual Studio 2010\Projects\vbdetlevvb-engine\vbdetlevvb-engine\Physic,2,322,193,145,6,59,0,70,275,0,0
C:\Users\Adroid\Documents\Visual Studio 2010\Projects\vbdetlevvb-engine\vbdetlevvb-engine\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\Adroid\Documents\Visual Studio 2010\Projects\vbdetlevvb-engine\vbdetlevvb-engine\Rendering,12,4610,3743,2394,591,467,33,400,2060,0,1
C:\Users\Adroid\Documents\Visual Studio 2010\Projects\vbdetlevvb-engine\vbdetlevvb-engine\Rendering\Camera,2,126,107,66,10,15,2,4,25,0,0
C:\Users\Adroid\Documents\Visual Studio 2010\Projects\vbdetlevvb-engine\vbdetlevvb-engine\Rendering\Mesh,5,460,333,213,20,92,2,35,231,0,0
C:\Users\Adroid\Documents\Visual Studio 2010\Projects\vbdetlevvb-engine\vbdetlevvb-engine\Rendering\Resources,1,15,12,8,0,3,0,0,0,0,0
C:\Users\Adroid\Documents\Visual Studio 2010\Projects\vbdetlevvb-engine\vbdetlevvb-engine\Rendering\Terrain,3,3860,3164,2025,550,335,29,361,1804,0,1
C:\Users\Adroid\Documents\Visual Studio 2010\Projects\vbdetlevvb-engine\vbdetlevvb-engine\Rendering\VBO,1,149,127,82,11,22,0,0,0,0,0
C:\Users\Adroid\Documents\Visual Studio 2010\Projects\vbdetlevvb-engine\vbdetlevvb-engine\Utils,2,100,84,58,1,16,0,0,0,0,0
C:\Users\Adroid\Documents\Visual Studio 2010\Projects\vbdetlevvb-engine\vbdetlevvb-engine\Utils\Interfaces,1,16,13,9,0,3,0,0,0,0,0
C:\Users\Adroid\Documents\Visual Studio 2010\Projects\vbdetlevvb-engine\vbdetlevvb-engine\Utils\Logging,1,84,71,49,1,13,0,0,0,0,0
